Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
4 Bed Villa with En Suite at Runda,"Runda, Westlands",0,0,"House for rent In Runda, 4 bedroom",370000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Luxurious Four-Bedroom House for Rent in Nyari,450000.0
5 Bed Villa with En Suite at Lower Kabete Rd,"Lower Kabete Rd, Lower Kabete, Westlands",0,0,EXQUISITE FULLY FURNISHED 5 BEDROOM VILLAS ALL...,1000000.0
4 Bed House with En Suite in Karen,Karen,0,0,4 bedroom house to let 3KE1694536,250000.0
4 Bed House with Garden in Karen,Karen,0,0,Safari lodge style 4-bedroom home with a 2-bedr...,395000.0
5 Bed Townhouse with En Suite at Off Convent Drive,"66, Off Convent Drive, Lavington",0,0,5 bedroom townhouse with sq for Rent in Lavingt...,340000.0
5 Bed Villa with En Suite in Lavington,Lavington,0,0,5-bedroom ensuite villa For Rent,350000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,4 bedrooms furnished house for rent,300000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,260000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,180000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 Bedroom Town House in Lavington,520000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 Bedroom Town House in Lavington,310000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 Bedroom Town House for Rent,385000.0
4 Bed House with Garden at Loresho,"Loresho, Loresho, Westlands",0,0,Cosy four bedrooms bungalow,160000.0
4 Bed House with En Suite at North Muthaiga,"North Muthaiga, Muthaiga",0,0,Exclusive four bedroom house,230000.0
3 Bed House with En Suite at Westlands,"Westlands, Loresho, Westlands",0,0,Beautiful three bedroom guest house,208000.0
3 Bed Townhouse with En Suite at Off Ridgeways Rd,"4, Off Ridgeways Rd, Runda, Westlands",0,0,Charming 3- Bedroom  cottage for rent in Ridgew...,280000.0
5 Bed Townhouse with En Suite at Lavington,Lavington,0,0,Presenting a Masterpiece by Nascent Properties:...,350000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Ambassadorial house in Runda features a spaciou...,520000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,🌟 EXTRAORDINARY 4-BEDROOM FAMILY HAVEN IN RUND...,280000.0
6 Bed House with En Suite at Gigiri,"Gigiri, Westlands",0,0,✨ EXTRAORDINARY 6-BEDROOM DETACHED HOME FOR RE...,450000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Elegant 5-Bedroom House for Rent in Spring Vall...,400000.0
2 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Charming Two-Bedroom Furnished Apartment in Kit...,235000.0
5 Bed House with En Suite in Muthaiga,Muthaiga,0,0,Home Sweet Home: Five-Bedroom House for Rent in...,570000.0
5 Bed House with En Suite at Un,"Un, Gigiri, Westlands",0,0,✨ EXCLUSIVE 5-BEDROOM LUXURY HOME FOR RENT IN...,750000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Comfy & Stylish 2-Bedroom Cottage in Runda,200000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,🌟 IDEAL FOR A SILENT OFFICE OR FAMILY HAVEN –...,400000.0
2 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Discover a World of Luxury and Tranquility with...,280000.0
4 Bed Townhouse with En Suite at Westlands,"Westlands, Westlands Area",0,0,🌟 Nascent Properties Presents: The Epitome of...,250000.0
4 Bed House with En Suite at Karen,"Karen, Karen",0,0,Exquisite 4-Bedroom Villa for Rent in Karen,350000.0
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",0,0,Executive 4 Bedrooms Town house,275000.0
2 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",0,0,Charming two bedroom fully furnished and servic...,400000.0
3 Bed House with En Suite in Gigiri,"Gigiri, Westlands",0,0,Charming Three-Bedroom Cottage for Rent in Gigi...,323100.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Contemporary Family Home Enjoying Tranquil Loca...,500000.0
3 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Three-Bedroom Home in a Secure Compound...,300000.0
2 Bed House with En Suite at Runda,"Runda, Westlands",0,0,✨ CHARMING 2-BEDROOM HOUSE IN RUNDA – YOUR IDE...,170000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,4 Br House  for rent in Kitisuru,387000.0
3 Bed House with En Suite at Awali Estate,"Awali Estate, Vipingo",0,0,Stunning 3-Bedroom Maisonette for Rent at Awali...,150000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Beautiful Four-Bedroom House in Runda,280000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Rustic Five-Bedroom House for Rent in Runda,450000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious Five Bedroom House for rent in Runda,400000.0
4 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,Serene Four-Bedroom Cottage for Rent in Loresho,220000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Exquisite Five-Bedroom House for Rent in Kitisu...,550000.0
5 Bed House with En Suite in Karen,Karen,0,0,Luxurious Five-Bedroom Home in Karen – For Rent...,400000.0
4 Bed Townhouse with En Suite at Lavington,"Lavington, Lavington",0,0,Beautiful four  bedroom townhouse,300000.0
8 Bed Townhouse with En Suite at Karen,Karen,0,0,8 Bed Townhouse with En Suite at Karen,500000.0
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,Modern 3 bedroom townhouse for rent,580000.0
4 Bed House with En Suite at Westlands,"Westlands, Rosslyn, Westlands",0,0,Bright & Charming 4-Bedroom Furnished Home with...,640000.0
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Magnificently designed 4 bedrooms corner townho...,180000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Comfy and Stylish Five-Bedroom Furnished House...,580000.0
4 Bed House with En Suite in Membley,"Membley, Ruiru",0,0,🏠 Prime Location! Stunning 4-Bedroom House for...,130000.0
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,"Elegant 4-Bedroom House with SQ, Gym & Pool in...",270000.0
5 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Luxurious Five-Bedroom House for Rent in Nyari,650000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Stunning Five-Bedroom House for Rent in Runda,560000.0
5 Bed Villa with En Suite at Alonzi Road,"Alonzi Road, Garden Estate, Roysambu",0,0,🏡 Exquisite 5-Bedroom Ensuite Home for Sale/Re...,300000.0
3 Bed House with En Suite in Karen,Karen,0,0,A Comfortable Nest – Three-Bedroom Furnished Co...,413000.0
3 Bed Townhouse with En Suite at Lavington West,"Lavington West, Lavington",0,0,Specious 3 bedrooms maisonette plus dsq and pri...,75000.0
5 Bed House with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Prestigious 5 bedroom all ensuite house plus fa...,400000.0
5 Bed Townhouse with En Suite at Apple Cross,"66, Apple Cross, Lavington",0,0,5 bedroom townhouse for Rent  in Lavington Appl...,350000.0
4 Bed Townhouse with En Suite at Lavington,"43, Lavington",0,0,5 bedrooms Townhouse With DSQ For Rent Off conv...,300000.0
5 Bed House with Staff Quarters in Kitisuru,"Old Kitisuru Nairobi, Kitisuru, Westlands",0,0,A 5bdrm family house to let in kitisuru.,450000.0
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",0,0,4 bedrooms Townhouse With DSQ For Rent Off conv...,260000.0
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",0,0,4 bedrooms Townhouse With DSQ For Rent Off conv...,160000.0
4 Bed Townhouse with Backup Generator at Convent Drive,"89, Convent Drive, Lavington",0,0,Lavington convent 4 bedrooms,160000.0
3 Bed House with Garden at Kerarapon,"Kerarapon, Karen",0,0,"THREE BEDROOM TOWNHOUSE IN KERARAPON, KAREN",180000.0
4 Bed Townhouse with Staff Quarters at Valley Arcade,"43, Valley Arcade, Lavington",0,0,4 bedroom townhouse with sq for sale in Lavingt...,160000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,5 bedroom house to rent in loresho,550000.0
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Stunning 4 bedrooms townhouse plus dsq and priv...,250000.0
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN WE...,290000.0
6 Bed Villa with En Suite in Loresho,"Loresho, Westlands",0,0,Loresho’s New 6 Bedroom Villas available to let,580000.0
5 Bed House with En Suite at Lavington,"Lavington, Lavington",0,0,Beautiful five  bedrooms house,300000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Stunning 4 Bedroom + DSQ Villa for Rent in Kiti...,380000.0
3 Bed House with En Suite in Ridgeways,Ridgeways,0,0,🌟 NASCENT PROPERTIES PRESENTS: YOUR SERENE ESC...,410000.0
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,0,0,Luxurious Modern 4-Bedroom Townhouse for Rent i...,285000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Modern 4 Bedroom + DSQ Villa for Rent in Kitisu...,510000.0
1 Bed House with En Suite at Windy Ridge,"Windy Ridge, Karen",0,0,Fully Furnished 1 Bedroom Cottage To Let in Kar...,140000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,🌟 UNMATCHED LUXURY LIVING – 4-BEDROOM TOWNHOUS...,340000.0
2 Bed House with En Suite at Muthaiga,Muthaiga,0,0,Fully furnished  2 bedroom duplex townhouse in...,360000.0
7 Bed House with Staff Quarters in Lavington,"Lavington Nairobi, Lavington",0,0,A 7bdrm family house to let in lavington.,600000.0
4 Bed Townhouse with En Suite in Runda,"Runda Nairobi, Runda, Westlands",0,0,A 4bdrm townhouse to let in runda.,3250.0
4 Bed Townhouse with En Suite at Off Convent Drive,"Off Convent Drive, Lavington",0,0,A 4 bedrooms townhouse with 2 SQs for rent,300000.0
4 Bed Townhouse with En Suite at Off Convent Drive,"Off Convent Drive, Lavington",0,0,A 4 bedrooms townhouse with an SQ for Rent,300000.0
4 Bed Townhouse with En Suite at Off General Mathenge Drive,"Off General Mathenge Drive, Westlands Area, Westlands",0,0,A 4 bedrooms townhouse with an SQ for Rent,250000.0
4 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Stylishly designed 4 Bedroom Townhouse plus fam...,340000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN RI...,300000.0
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,4 bedroom townhouse to rent in kitisuru,380000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,550000.0
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,AN EXECUTIVE 5BEDROOM TOWN HOUSE FOR RENT IN LO...,570000.0
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,AN EXECUTIVE 5BEDROOM DOUBLE STOREY FOR RENT IN...,580000.0
2 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,0,0,Kileleshwa Large 2 Bedroom Townhouse For Rent.,190000.0
4 Bed Townhouse with En Suite at Lavington,"Maziwa, Lavington",0,0,Most attractive 4 bedrooms townhouse plus famil...,160000.0
4 Bed Villa with En Suite at Ruiru,"Ruiru, Eastern Bypass",0,0,MODERN MAISONETTES TO LET,100000.0
2 Bed House with En Suite in Karen,Karen,0,0,2-Bedroom All En-Suite Apartment/Cottage for Re...,100000.0
2 Bed House with En Suite in Karen,Karen,0,0,Furnished 2-Bedroom All En-Suite Apartment/Cott...,180000.0
3 Bed Townhouse with En Suite at Runda,"Runda, Westlands",0,0,4274sq ft  3 Bedroom Townhouse available for RE...,580000.0
4 Bed House with En Suite at Migaa Golf Estate,"Centre Piece, Migaa Golf Estate, Kiambu Road",0,0,4 bedroom all ensuite plus sq,130000.0
4 Bed House with Staff Quarters in Kiambu Road,Kiambu Road,0,0,MASSIVE 4 BEDROOM HOUSE TO LET IN KUGERIA ESTAT...,250000.0
5 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,ELEGANT 4 BEDROOM HOUSE TO LET IN KUGERIA ESTAT...,200000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 5-Bedroom Home in the Heart of Runda,400000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant and Secure Five Bedroom House for Rent...,650000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,6 bedroom all en-suite standalone house,492000.0
4 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,Comfortable Nest - 4-Bedroom Villa for Rent in...,540000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Elegant 4-Bedroom House for Rent in Nyari,380000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Spacious 5-Bedroom Home for Rent in Runda,350000.0
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Elegant Four-Bedroom House for Rent in Spring V...,300000.0
5 Bed House with En Suite at Un,"Un, Gigiri, Westlands",0,0,Exquisite 5-Bedroom Home for Rent in Prestigiou...,400000.0
5 Bed House with En Suite in Karen,Karen,0,0,Luxurious Five-Bedroom Home in Karen – For Rent...,400000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Five-Bedroom House for Rent in Runda,550000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Comfy & Stylish 4-Bedroom House for Rent in Kit...,750000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Your Dream Home Awaits – 5-Bedroom Villa with P...,450000.0
6 Bed House with En Suite at Elias Zaragotis,"1, Elias Zaragotis, Runda, Westlands",0,0,Grand 6-Bedroom Mansion for Rent in Runda – Lux...,450000.0
2 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Charming Two-Bedroom Cottage for Rent in Nyari,260000.0
6 Bed Villa with En Suite in Loresho,"Loresho, Westlands",0,0,Exquisite 5 and 6 Bedrooms Villa with Private P...,650000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Luxurious Five-Bedroom House for Rent in Kitisu...,450000.0
4 Bed Townhouse with En Suite at Kiambu Road,"Kiambu Road, Muthaiga",0,0,Excellent modern and spacious 4 bedroom townhou...,250000.0
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Spectaculars 5 bedrooms villa plus family rm an...,300000.0
4 Bed Townhouse with Swimming Pool at Othaya,"Othaya, Lavington",0,0,stylishly designed 4 bedrooms villas plus 1 bee...,260000.0
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington Green, Lavington",0,0,Magnificent 5 bedroom townhouse plus family rm...,280000.0
4 Bed House with En Suite in Thigiri,"Thigiri, Westlands",0,0,AN EXECUTIVE  4 BEDROOM   DOUBLE STOREY FOR REN...,510000.0
5 Bed House with En Suite at Varsityville,"Varsityville, Kamakis, Ruiru",0,0,PRESTIGIOUS MAISONNETTES TO  LET IN VARSITYVILL...,140000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5BEDROOM FULLY FURNISHED TOWN HOUSE FOR RENT IN...,380000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,310000.0
1 Bed House with En Suite in Karen,Karen,0,0,2 Bedroom Apartment To Let in Karen,160000.0
1 Bed House with En Suite in Karen,Karen,0,0,Unfurnished 1 Bedroom Apartment To Let in Karen,75000.0
3 Bed House with En Suite at Ridgeways,"Ridgeways, Kiambu Road",0,0,Beautiful 3 bedroom cottage for rent in a secur...,400000.0
5 Bed House with En Suite at Loresho,"01, Loresho, Westlands",0,0,Experience Unmatched Luxury: Newly Built 6-Bedr...,550000.0
1 Bed House with En Suite in Karen,Karen,0,0,Unfurnished 1 Bedroom Apartment To Let in Karen,75000.0
5 Bed House with En Suite at Thigiri Grove,"Thigiri Grove, Thigiri, Westlands",0,0,Executive 5 bedroom house with dsqs and mature...,520000.0
4 Bed Townhouse with En Suite at Kileleshwa Nairobi,"0328J, Kileleshwa Nairobi, Kileleshwa",0,0,4 Bedrooms Triplex Townhouses in Kileleshwa Nai...,380000.0
4 Bed House with En Suite at Karen,"01, Karen, Karen",0,0,Executive 4 Bedroom House All Bedroom En-suite...,400000.0
5 Bed House with En Suite in Karen,Karen,0,0,Luxurious 5-Bedroom House for Rent in Karen,350000.0
5 Bed House with En Suite at Forward Close,"Forward Close, Kitisuru, Westlands",0,0,Excellent 5 bedroom house with dsq on 3/4acre g...,450000.0
6 Bed Villa with En Suite in Runda,"Runda, Westlands",0,0,Runda Elegant 6 bedroom  (all-ensuite) Home on...,450000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Charming 5-Bedroom House for Rent in Kitisuru,350000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,Luxurious Four-Bedroom Townhouse for Rent in Ru...,420000.0
4 Bed House with En Suite at Karen,Karen,0,0,Rustic 4-Bedroom Cottage in Karen,250000.0
3 Bed Townhouse with En Suite at Thindigua,"Thindigua, Kiambu Road",0,0,"3 BED HOUSE TO LET OFF KIAMBU ROAD, RENT AT KSH...",140000.0
4 Bed Townhouse with En Suite at Kilimani Road,"45, Kilimani Road, Kilimani",0,0,Kilimani,220000.0
3 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Fully Furnished 3-Bedroom Townhouse style apart...,381000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,Luxurious 4-Bedroom All En-Suite + DSQ & TV Roo...,250000.0
4 Bed House with En Suite at Spring Valley,"Spring Valley, Spring Valley, Westlands",0,0,4bedroom Standalone to let in Spring valley,500000.0
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Elegant 3-Bedroom + DSQ Townhouse for Rent – Of...,295000.0
4 Bed Villa with En Suite in Lavington,Lavington,0,0,4-Bedroom Villa for Rent – Lavington,320000.0
4 Bed Townhouse with En Suite at Convent Drive,"89, Convent Drive, Lavington",0,0,4 Bedroom Townhouse to Rent in Lavington,330000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Spacious Five Bedroom Furnished House for Rent...,520000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Exquisite 5-Bedroom House with Separate Guest W...,1294000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 Bedroom Townhouse for Rent in Lavington at Ke...,400000.0
4 Bed Villa with En Suite in Lavington,Lavington,0,0,Luxurious cosy 4 bedroom house with 2 Dsq for r...,250000.0
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",0,0,A Luxurious Getaway: Five-Bedroom House for Ren...,440000.0
6 Bed Villa with En Suite in Kileleshwa,Kileleshwa,0,0,Luxurious 6 bedrooms maisonette for rent,300000.0
5 Bed Townhouse with Swimming Pool at 5 Mins Drive To Gigiri And Roslyn Academy,"5 Mins Drive To Gigiri And Roslyn Academy, Runda, Westlands",0,0,Astonishing 5 bedrooms townhouse for rent in ru...,580000.0
5 Bed House with En Suite at Mountain View Estate Nairobi,"0328J, Mountain View Estate Nairobi, Mountain View, Westlands",0,0,5-Bedroom Standalone Bungalow in Mountain View...,140000.0
4 Bed House with En Suite in Karen,Karen,0,0,A Warm and Welcoming Four-Bedroom House for Ren...,400000.0
5 Bed Villa with En Suite in Lavington,Lavington,0,0,Luxurious 5 Bedroom Villa to Let in Lavington,450000.0
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",0,0,Contemporary Family Home Enjoying 5BED  Tranqui...,400000.0
3 Bed House with En Suite at Sabaki Estate Mlolongo Mombasa Road,"0328J, Sabaki Estate Mlolongo Mombasa Road, Mlolongo",0,0,3-Bedroom Bungalow - Master Ensuite at Mlolongo,35000.0
4 Bed Townhouse with En Suite at Brookside Estate Westlands Nairobi,"0328J, Brookside Estate Westlands Nairobi, Brookside, Westlands",0,0,"4-Bedroom Detached Townhouse in Brookside, West...",270000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Sanctuary Five-Bedroom House for Rent in Kitisu...,450000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Elegant Five-Bedroom House for Rent in Kitisuru,400000.0
5 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Luxurious 5-Bedroom Villa for Rent in Nyari,550000.0
5 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Luxurious Five-Bedroom House for Rent in Nyari,520000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,Charming Four-Bedroom Furnished Cottage for Ren...,413500.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 5-Bedroom House for Rent in Runda,280000.0
3 Bed House with En Suite at Karen,Karen,0,0,Modern 2-Bedroom Fully Furnished House in Karen,380000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Kitisuru :  A 4 Bedroom All En suite Townhouse...,370000.0
4 Bed House with En Suite at Himidi Close,"Himidi Close, Karen",0,0,Exquisite 4 bedroom house for rent in Karen,280000.0
5 Bed Townhouse with Staff Quarters in Kitisuru,"Kitisuru, Westlands",0,0,A family home in a gated community,550000.0
4 Bed Townhouse with En Suite in Westlands Area,"Grivelia Grove Westland, Westlands Area, Westlands",0,0,A 4bdrm townhouse to let in westland.,270000.0
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR  RENT IN K...,350000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,AN EXECUTIVE 4BEDROOM TOWN HOUSE FOR RENT IN LA...,300000.0
4 Bed Townhouse with En Suite at Lavington,Lavington,0,0,✨ Exclusive 4-Bedroom Villas in a Private Gate...,280000.0
4 Bed House with En Suite in Muthaiga,Muthaiga,0,0,Executive 4 bedrooms Maisonette,250000.0
4 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",0,0,Rustic 4-Bedroom House Plus Dsq  ( COMES UNFURN...,400000.0
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,0,0,Elegantly done 4 Bedrooms Town house,300000.0
3 Bed House with En Suite at Karen,Karen,0,0,3 bedroom house to rent in Karen,100000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,🌟 Unparalleled Luxury 4-Bedroom Villa for Rent...,300000.0
3 Bed Townhouse with En Suite in Riverside,"Riverside, Westlands",0,0,Elegant & Stylish 3-Bedroom Townhouse for Rent...,300000.0
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Stunning Four-Bedroom Cottage for Rent in Rossl...,650000.0
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",0,0,🌟 Exclusive 4-Bedroom Bungalow for Rent in Wes...,350000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,🌟 Exclusive 4-Bedroom Family Home for Rent in...,300000.0
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Rustic Elegance: Four-Bedroom Cottage for Rent...,400000.0
4 Bed House with En Suite at Loresho,"Loresho, Westlands",0,0,Charming 4-Bedroom Cottage with DSQ to Let in L...,180000.0
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Spacious Four Bedroom Townhouse for Rent in Ros...,350000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,A MODERN 4 BEDROOM ALL ENSUITE TO LET IN INEZA...,285000.0
3 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Charming & Equistic Three Bedroom House  for Re...,323100.0
4 Bed Townhouse with Staff Quarters in Kamakis,"Kamakis, Ruiru",0,0,"4 Bedroom townhouse for rent in Ruiru,Kamakis.",130000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Four-Bedroom House for Rent in Runda,300000.0
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,🌟 Diplomatic Sanctuary: A Hidden Gem with UN-A...,1200000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Comfy 5-Bedroom House with DSQ  for Rent in Run...,500000.0
5 Bed House with En Suite in Karen,Karen,0,0,🌟 Experience the Ultimate in Luxury Living in...,500000.0
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Oasis Four-Bedroom Cottage for Rent in Rosslyn,570000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 5-Bedroom House for Rent in Runda,450000.0
4 Bed House with En Suite at Karen,Karen,0,0,✨ Unlock the Door to Your Dream Home in This 4...,250000.0
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Modern and Cozy Three-Bedroom Furnished Apartme...,200000.0
5 Bed Villa with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 5-Bedroom Villa for Rent in Runda,640000.0
3 Bed House with En Suite at Karen,Karen,0,0,Beautiful Three bedroom Cottage,300000.0
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,🌟 Magnificent Stand-Alone Cottage for Rent in...,450000.0
3 Bed House with En Suite in Runda,"Runda, Westlands",0,0,✨ EXTRAORDINARY FULLY FURNISHED 3-BEDROOM GUES...,170000.0
5 Bed Townhouse in Lavington,Lavington,0,0,Fully furnished home in a gated compound,400000.0
3 Bed House with En Suite at Mukima,"Mukima, Nanyuki",0,0,Beautiful 3 bedroom house on 2 acres for rent...,85000.0
5 Bed House with En Suite in Thigiri,"Thigiri, Westlands",0,0,5 bedroom house to rent in Thigiri,520000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,5 bedroom house to rent in kitisuru,450000.0
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,0,0,A NEWLY BUILT MODERN SPACIOUS FOUR BEDROOM VILL...,290000.0
3 Bed House with Garden in Kenyatta Road,Kenyatta Road,0,0,🏡 Spacious 3-Bedroom Master En-Suite for Rent...,70000.0
5 Bed House with En Suite at Kileleshwa,"Kileleshwa, Kileleshwa",0,0,Unique 5 Bedroom Townhouse for Rent in Kilelesh...,500000.0
4 Bed Townhouse with En Suite at Ridgeways,"Runda, Ridgeways, Kiambu Road",0,0,Ridgeways Estate – Four Ways Junction :  4 bedr...,170000.0
3 Bed House with En Suite at Kilimani,"Kilimani, Dennis Pritt",0,0,Kilimani - 3 Bedroom Maisonette - To Let,130000.0
2 Bed House with En Suite at Westlands,"Westlands, Westlands Area, Westlands",0,0,Modern & Newly Furnished 2 bedroom Apartment in...,220000.0
4 Bed House with En Suite at Gigiri,"003, Gigiri, Gigiri, Westlands",0,0,Stunning Four-Bedroom House for Rent in Gigiri,360000.0
5 Bed House with En Suite at Gigiri,"003, Gigiri, Gigiri, Westlands",0,0,Charming Five-Bedroom House for Rent in Gigiri,440000.0
3 Bed Townhouse with En Suite at Ridgeways,Ridgeways,0,0,"3br Townhouse, Ridgeways",200000.0
